tick,msg_type,expected_rows,observed_rows,expected_hash,observed_hash,match,ui_converged_ms,ws_timestamp,expected_changed,observed_changed,captured_at_utc
1,dashboard_init,14,14,c3b0888c2339958eaad3ad2a2195612b5a5a4530,fc1d40074ea4858fc3869736587d63247ee1a476,True,0,2026-03-11T19:48:25.278347+00:00,False,False,2026-03-11T19:48:25.712Z
2,dashboard_delta,14,14,692f7686e0f729093463bdd59b4ae19d99fe8ed9,692f7686e0f729093463bdd59b4ae19d99fe8ed9,True,0,2026-03-11T19:48:25.781686+00:00,True,True,2026-03-11T19:48:26.308Z
3,dashboard_delta,14,14,3648965ea913d06fa671b063eee0dbc80fcc9a2d,f02dd320ffba14a56b43c401392080de379eb547,True,0,2026-03-11T19:48:26.792655+00:00,True,True,2026-03-11T19:48:27.414Z
4,dashboard_delta,14,14,2d1f3ea60bd7f3dfcae54490067e60612999e8e4,2d1f3ea60bd7f3dfcae54490067e60612999e8e4,True,0,2026-03-11T19:48:28.782209+00:00,True,True,2026-03-11T19:48:29.487Z
5,dashboard_delta,14,14,ea495fb7d02bd014ea1408d9fd776fd40a38d896,9d4a80c39f87312e6cc943d291b64e0ec18d5535,True,0,2026-03-11T19:48:29.781925+00:00,True,True,2026-03-11T19:48:30.309Z
